TXNID:236842 | STATUS:REJECTED | LATENCY:92ms
TXNID:7739 | STATUS:REJECTED | LATENCY:41ms
TXNID:650032 | STATUS:REJECTED | LATENCY:27ms
TXNID:446802 | STATUS:PENDING | LATENCY:80ms
TXNID:272955 | STATUS:REJECTED | LATENCY:89ms
TXNID:33565 | STATUS:REJECTED | LATENCY:27ms
TXNID:728454 | STATUS:SUCCESS | LATENCY:9ms
TXNID:906420 | STATUS:PENDING | LATENCY:26ms
TXNID:202804 | STATUS:SUCCESS | LATENCY:188ms
TXNID:412122 | STATUS:FAILURE | LATENCY:14ms
TXNID:742497 | STATUS:FAILURE | LATENCY:11ms
TXNID:277854 | STATUS:SUCCESS | LATENCY:107ms
TXNID:727840 | STATUS:REJECTED | LATENCY:148ms
TXNID:646332 | STATUS:PENDING | LATENCY:105ms
TXNID:15675 | STATUS:FAILURE | LATENCY:186ms
TXNID:175129 | STATUS:SUCCESS | LATENCY:103ms
TXNID:710303 | STATUS:FAILURE | LATENCY:37ms
TXNID:422760 | STATUS:SUCCESS | LATENCY:121ms
TXNID:622107 | STATUS:REJECTED | LATENCY:76ms
TXNID:394585 | STATUS:REJECTED | LATENCY:131ms
TXNID:291331 | STATUS:REJECTED | LATENCY:116ms
TXNID:847279 | STATUS:PENDING | LATENCY:76ms
TXNID:39869 | STATUS:REJECTED | LATENCY:16ms
TXNID:686303 | STATUS:PENDING | LATENCY:4ms
TXNID:819368 | STATUS:REJECTED | LATENCY:30ms
TXNID:953148 | STATUS:REJECTED | LATENCY:133ms
TXNID:594194 | STATUS:REJECTED | LATENCY:140ms
TXNID:887974 | STATUS:FAILURE | LATENCY:78ms
TXNID:28077 | STATUS:PENDING | LATENCY:0ms
TXNID:566333 | STATUS:SUCCESS | LATENCY:55ms
TXNID:960638 | STATUS:SUCCESS | LATENCY:131ms
TXNID:574763 | STATUS:REJECTED | LATENCY:51ms
TXNID:467329 | STATUS:REJECTED | LATENCY:180ms
TXNID:753784 | STATUS:SUCCESS | LATENCY:79ms
TXNID:824068 | STATUS:SUCCESS | LATENCY:2ms
TXNID:204783 | STATUS:SUCCESS | LATENCY:120ms
TXNID:590812 | STATUS:PENDING | LATENCY:182ms
TXNID:543460 | STATUS:FAILURE | LATENCY:151ms
TXNID:541696 | STATUS:FAILURE | LATENCY:171ms
TXNID:316326 | STATUS:SUCCESS | LATENCY:30ms
TXNID:928139 | STATUS:REJECTED | LATENCY:67ms
TXNID:36480 | STATUS:PENDING | LATENCY:34ms
TXNID:861378 | STATUS:FAILURE | LATENCY:179ms
TXNID:958709 | STATUS:SUCCESS | LATENCY:180ms
TXNID:841810 | STATUS:SUCCESS | LATENCY:84ms
TXNID:831592 | STATUS:PENDING | LATENCY:28ms
TXNID:267698 | STATUS:FAILURE | LATENCY:95ms
TXNID:221474 | STATUS:PENDING | LATENCY:172ms
TXNID:305507 | STATUS:SUCCESS | LATENCY:110ms
TXNID:331657 | STATUS:REJECTED | LATENCY:163ms
TXNID:622076 | STATUS:REJECTED | LATENCY:40ms
TXNID:259319 | STATUS:REJECTED | LATENCY:13ms
TXNID:503597 | STATUS:SUCCESS | LATENCY:50ms
TXNID:698704 | STATUS:REJECTED | LATENCY:73ms
TXNID:604379 | STATUS:SUCCESS | LATENCY:56ms
TXNID:149918 | STATUS:FAILURE | LATENCY:98ms
TXNID:538647 | STATUS:PENDING | LATENCY:47ms
TXNID:971127 | STATUS:PENDING | LATENCY:75ms
TXNID:794892 | STATUS:SUCCESS | LATENCY:30ms
TXNID:918908 | STATUS:FAILURE | LATENCY:154ms
TXNID:101482 | STATUS:REJECTED | LATENCY:171ms
TXNID:170593 | STATUS:FAILURE | LATENCY:43ms
TXNID:164521 | STATUS:FAILURE | LATENCY:71ms
TXNID:203385 | STATUS:REJECTED | LATENCY:119ms
TXNID:254846 | STATUS:PENDING | LATENCY:23ms
TXNID:552813 | STATUS:SUCCESS | LATENCY:92ms
TXNID:772652 | STATUS:REJECTED | LATENCY:170ms
TXNID:612301 | STATUS:REJECTED | LATENCY:146ms
TXNID:721027 | STATUS:FAILURE | LATENCY:103ms
TXNID:740560 | STATUS:REJECTED | LATENCY:155ms
TXNID:817599 | STATUS:PENDING | LATENCY:167ms
TXNID:583140 | STATUS:PENDING | LATENCY:170ms
TXNID:678564 | STATUS:FAILURE | LATENCY:159ms
TXNID:256627 | STATUS:SUCCESS | LATENCY:100ms
TXNID:156406 | STATUS:FAILURE | LATENCY:195ms
TXNID:745706 | STATUS:PENDING | LATENCY:36ms
TXNID:538627 | STATUS:REJECTED | LATENCY:175ms
TXNID:846811 | STATUS:SUCCESS | LATENCY:108ms
TXNID:36529 | STATUS:SUCCESS | LATENCY:26ms
TXNID:892119 | STATUS:FAILURE | LATENCY:161ms
TXNID:48651 | STATUS:REJECTED | LATENCY:92ms
TXNID:29256 | STATUS:PENDING | LATENCY:198ms
TXNID:981426 | STATUS:SUCCESS | LATENCY:157ms
TXNID:475685 | STATUS:SUCCESS | LATENCY:60ms
TXNID:207121 | STATUS:FAILURE | LATENCY:115ms
TXNID:31643 | STATUS:FAILURE | LATENCY:94ms
TXNID:561085 | STATUS:FAILURE | LATENCY:125ms
TXNID:466673 | STATUS:PENDING | LATENCY:119ms
TXNID:312454 | STATUS:REJECTED | LATENCY:125ms
TXNID:793459 | STATUS:PENDING | LATENCY:55ms
TXNID:600422 | STATUS:FAILURE | LATENCY:185ms
TXNID:411671 | STATUS:PENDING | LATENCY:67ms
TXNID:710744 | STATUS:PENDING | LATENCY:41ms
TXNID:817541 | STATUS:REJECTED | LATENCY:32ms
TXNID:507294 | STATUS:FAILURE | LATENCY:0ms
TXNID:83962 | STATUS:PENDING | LATENCY:17ms
TXNID:295163 | STATUS:FAILURE | LATENCY:139ms
TXNID:768389 | STATUS:PENDING | LATENCY:51ms
TXNID:275516 | STATUS:SUCCESS | LATENCY:80ms
TXNID:643672 | STATUS:PENDING | LATENCY:56ms
TXNID:658880 | STATUS:SUCCESS | LATENCY:180ms
TXNID:61459 | STATUS:FAILURE | LATENCY:23ms
TXNID:771304 | STATUS:FAILURE | LATENCY:59ms
TXNID:402961 | STATUS:REJECTED | LATENCY:182ms
TXNID:826982 | STATUS:PENDING | LATENCY:79ms
TXNID:601608 | STATUS:FAILURE | LATENCY:53ms
TXNID:820386 | STATUS:SUCCESS | LATENCY:157ms
TXNID:463913 | STATUS:SUCCESS | LATENCY:110ms
TXNID:52340 | STATUS:SUCCESS | LATENCY:175ms
TXNID:293856 | STATUS:SUCCESS | LATENCY:84ms
TXNID:109900 | STATUS:SUCCESS | LATENCY:185ms
TXNID:286849 | STATUS:FAILURE | LATENCY:38ms
TXNID:706053 | STATUS:REJECTED | LATENCY:168ms
TXNID:601000 | STATUS:PENDING | LATENCY:193ms
TXNID:799135 | STATUS:SUCCESS | LATENCY:14ms
TXNID:20915 | STATUS:REJECTED | LATENCY:143ms
TXNID:244515 | STATUS:FAILURE | LATENCY:185ms
TXNID:334423 | STATUS:SUCCESS | LATENCY:34ms
TXNID:166124 | STATUS:PENDING | LATENCY:108ms
TXNID:13425 | STATUS:PENDING | LATENCY:196ms
TXNID:211291 | STATUS:FAILURE | LATENCY:77ms
TXNID:910358 | STATUS:SUCCESS | LATENCY:16ms
TXNID:768516 | STATUS:REJECTED | LATENCY:47ms
TXNID:308085 | STATUS:PENDING | LATENCY:109ms
TXNID:714187 | STATUS:FAILURE | LATENCY:94ms
TXNID:306144 | STATUS:FAILURE | LATENCY:21ms
TXNID:298779 | STATUS:PENDING | LATENCY:21ms
TXNID:902751 | STATUS:REJECTED | LATENCY:91ms
TXNID:445570 | STATUS:SUCCESS | LATENCY:141ms
TXNID:155633 | STATUS:PENDING | LATENCY:7ms
TXNID:471781 | STATUS:REJECTED | LATENCY:31ms
TXNID:943952 | STATUS:SUCCESS | LATENCY:26ms
TXNID:593900 | STATUS:SUCCESS | LATENCY:135ms
TXNID:129110 | STATUS:PENDING | LATENCY:117ms
TXNID:5767 | STATUS:SUCCESS | LATENCY:164ms
TXNID:447603 | STATUS:SUCCESS | LATENCY:129ms
TXNID:538202 | STATUS:REJECTED | LATENCY:156ms
TXNID:531915 | STATUS:REJECTED | LATENCY:18ms
TXNID:791161 | STATUS:REJECTED | LATENCY:116ms
TXNID:383104 | STATUS:PENDING | LATENCY:144ms
TXNID:521745 | STATUS:PENDING | LATENCY:159ms
TXNID:299854 | STATUS:REJECTED | LATENCY:198ms
TXNID:19169 | STATUS:PENDING | LATENCY:150ms
TXNID:727358 | STATUS:SUCCESS | LATENCY:54ms
TXNID:461961 | STATUS:FAILURE | LATENCY:68ms
TXNID:637084 | STATUS:SUCCESS | LATENCY:60ms
TXNID:555243 | STATUS:FAILURE | LATENCY:147ms
TXNID:495342 | STATUS:SUCCESS | LATENCY:70ms
TXNID:204492 | STATUS:SUCCESS | LATENCY:31ms
TXNID:22562 | STATUS:FAILURE | LATENCY:7ms
TXNID:430649 | STATUS:SUCCESS | LATENCY:188ms
TXNID:311759 | STATUS:REJECTED | LATENCY:23ms
TXNID:921097 | STATUS:PENDING | LATENCY:43ms
TXNID:888054 | STATUS:SUCCESS | LATENCY:105ms
TXNID:592385 | STATUS:PENDING | LATENCY:52ms
TXNID:503493 | STATUS:PENDING | LATENCY:146ms
TXNID:758958 | STATUS:FAILURE | LATENCY:187ms
TXNID:949931 | STATUS:PENDING | LATENCY:134ms
TXNID:596899 | STATUS:PENDING | LATENCY:137ms
TXNID:522764 | STATUS:FAILURE | LATENCY:189ms
TXNID:476680 | STATUS:SUCCESS | LATENCY:107ms
TXNID:81341 | STATUS:SUCCESS | LATENCY:82ms
TXNID:516648 | STATUS:PENDING | LATENCY:166ms
TXNID:824093 | STATUS:SUCCESS | LATENCY:71ms
TXNID:505749 | STATUS:PENDING | LATENCY:10ms
TXNID:141052 | STATUS:PENDING | LATENCY:0ms
TXNID:586170 | STATUS:PENDING | LATENCY:7ms
TXNID:940683 | STATUS:PENDING | LATENCY:31ms
TXNID:971793 | STATUS:REJECTED | LATENCY:100ms
TXNID:869678 | STATUS:FAILURE | LATENCY:169ms
TXNID:927874 | STATUS:SUCCESS | LATENCY:179ms
TXNID:869243 | STATUS:SUCCESS | LATENCY:75ms
TXNID:179102 | STATUS:PENDING | LATENCY:149ms
TXNID:452251 | STATUS:FAILURE | LATENCY:146ms
TXNID:474703 | STATUS:SUCCESS | LATENCY:104ms
TXNID:596794 | STATUS:REJECTED | LATENCY:36ms
TXNID:561373 | STATUS:REJECTED | LATENCY:52ms
TXNID:605392 | STATUS:SUCCESS | LATENCY:95ms
TXNID:765748 | STATUS:PENDING | LATENCY:27ms
TXNID:170425 | STATUS:PENDING | LATENCY:12ms
TXNID:471926 | STATUS:FAILURE | LATENCY:40ms
TXNID:988694 | STATUS:FAILURE | LATENCY:45ms
TXNID:103941 | STATUS:FAILURE | LATENCY:5ms
TXNID:994749 | STATUS:SUCCESS | LATENCY:13ms
TXNID:905606 | STATUS:PENDING | LATENCY:79ms
TXNID:639720 | STATUS:REJECTED | LATENCY:173ms
TXNID:983504 | STATUS:PENDING | LATENCY:103ms
TXNID:21497 | STATUS:FAILURE | LATENCY:117ms
TXNID:440336 | STATUS:PENDING | LATENCY:10ms
TXNID:397861 | STATUS:FAILURE | LATENCY:42ms
TXNID:972255 | STATUS:REJECTED | LATENCY:45ms
TXNID:415352 | STATUS:PENDING | LATENCY:7ms
TXNID:153788 | STATUS:REJECTED | LATENCY:10ms
TXNID:495261 | STATUS:PENDING | LATENCY:144ms
TXNID:511926 | STATUS:FAILURE | LATENCY:141ms
TXNID:877076 | STATUS:REJECTED | LATENCY:51ms
TXNID:667269 | STATUS:SUCCESS | LATENCY:38ms
TXNID:565565 | STATUS:FAILURE | LATENCY:24ms
TXNID:580978 | STATUS:FAILURE | LATENCY:133ms
TXNID:88248 | STATUS:FAILURE | LATENCY:123ms
TXNID:76015 | STATUS:SUCCESS | LATENCY:57ms
TXNID:198223 | STATUS:FAILURE | LATENCY:125ms
TXNID:554192 | STATUS:FAILURE | LATENCY:125ms
TXNID:808209 | STATUS:REJECTED | LATENCY:75ms
TXNID:225638 | STATUS:PENDING | LATENCY:128ms
TXNID:253471 | STATUS:FAILURE | LATENCY:42ms
TXNID:824208 | STATUS:REJECTED | LATENCY:54ms
TXNID:582704 | STATUS:REJECTED | LATENCY:1ms
TXNID:561834 | STATUS:REJECTED | LATENCY:122ms
TXNID:762846 | STATUS:FAILURE | LATENCY:134ms
TXNID:232654 | STATUS:REJECTED | LATENCY:23ms
TXNID:284736 | STATUS:FAILURE | LATENCY:189ms
TXNID:959787 | STATUS:FAILURE | LATENCY:103ms
TXNID:305513 | STATUS:SUCCESS | LATENCY:100ms
TXNID:710122 | STATUS:SUCCESS | LATENCY:172ms
TXNID:24703 | STATUS:FAILURE | LATENCY:58ms
TXNID:70535 | STATUS:SUCCESS | LATENCY:121ms
TXNID:375319 | STATUS:SUCCESS | LATENCY:197ms
TXNID:475386 | STATUS:SUCCESS | LATENCY:29ms
TXNID:975840 | STATUS:SUCCESS | LATENCY:176ms
TXNID:678043 | STATUS:PENDING | LATENCY:119ms
TXNID:590787 | STATUS:PENDING | LATENCY:134ms
TXNID:901323 | STATUS:SUCCESS | LATENCY:53ms
TXNID:483623 | STATUS:FAILURE | LATENCY:33ms
TXNID:134162 | STATUS:FAILURE | LATENCY:154ms
TXNID:488817 | STATUS:SUCCESS | LATENCY:10ms
TXNID:331553 | STATUS:FAILURE | LATENCY:41ms
TXNID:344950 | STATUS:PENDING | LATENCY:144ms
TXNID:711063 | STATUS:REJECTED | LATENCY:67ms
TXNID:244764 | STATUS:REJECTED | LATENCY:129ms
TXNID:267545 | STATUS:PENDING | LATENCY:32ms
TXNID:698724 | STATUS:PENDING | LATENCY:186ms
TXNID:31643 | STATUS:FAILURE | LATENCY:141ms
TXNID:176838 | STATUS:SUCCESS | LATENCY:103ms
TXNID:596860 | STATUS:FAILURE | LATENCY:58ms
TXNID:775044 | STATUS:REJECTED | LATENCY:167ms
TXNID:856511 | STATUS:REJECTED | LATENCY:184ms
TXNID:924936 | STATUS:PENDING | LATENCY:37ms
TXNID:582293 | STATUS:SUCCESS | LATENCY:34ms
TXNID:848514 | STATUS:REJECTED | LATENCY:123ms
TXNID:286218 | STATUS:PENDING | LATENCY:88ms
TXNID:62635 | STATUS:FAILURE | LATENCY:13ms
TXNID:564216 | STATUS:REJECTED | LATENCY:166ms
TXNID:23448 | STATUS:PENDING | LATENCY:155ms
TXNID:282975 | STATUS:SUCCESS | LATENCY:194ms
TXNID:148978 | STATUS:REJECTED | LATENCY:49ms
TXNID:5774 | STATUS:FAILURE | LATENCY:78ms
TXNID:425219 | STATUS:SUCCESS | LATENCY:172ms
TXNID:870025 | STATUS:PENDING | LATENCY:128ms
TXNID:891173 | STATUS:PENDING | LATENCY:132ms
TXNID:24197 | STATUS:PENDING | LATENCY:88ms
TXNID:540379 | STATUS:FAILURE | LATENCY:109ms
TXNID:701775 | STATUS:FAILURE | LATENCY:120ms
TXNID:712157 | STATUS:PENDING | LATENCY:30ms
TXNID:944088 | STATUS:FAILURE | LATENCY:144ms
TXNID:669922 | STATUS:PENDING | LATENCY:110ms
TXNID:955334 | STATUS:SUCCESS | LATENCY:170ms
TXNID:443062 | STATUS:FAILURE | LATENCY:51ms
TXNID:679616 | STATUS:SUCCESS | LATENCY:162ms
TXNID:823940 | STATUS:REJECTED | LATENCY:101ms
TXNID:954886 | STATUS:SUCCESS | LATENCY:94ms
TXNID:552130 | STATUS:PENDING | LATENCY:171ms
TXNID:649210 | STATUS:SUCCESS | LATENCY:46ms
TXNID:304839 | STATUS:REJECTED | LATENCY:71ms
TXNID:943578 | STATUS:REJECTED | LATENCY:160ms
TXNID:563717 | STATUS:FAILURE | LATENCY:22ms
TXNID:50700 | STATUS:FAILURE | LATENCY:140ms
TXNID:930663 | STATUS:REJECTED | LATENCY:0ms
TXNID:220581 | STATUS:PENDING | LATENCY:117ms
TXNID:163762 | STATUS:REJECTED | LATENCY:63ms
TXNID:548238 | STATUS:SUCCESS | LATENCY:138ms
TXNID:335047 | STATUS:FAILURE | LATENCY:169ms
TXNID:535367 | STATUS:SUCCESS | LATENCY:3ms
TXNID:209342 | STATUS:REJECTED | LATENCY:93ms
TXNID:224760 | STATUS:PENDING | LATENCY:47ms
TXNID:113610 | STATUS:SUCCESS | LATENCY:164ms
TXNID:775716 | STATUS:PENDING | LATENCY:110ms
TXNID:731690 | STATUS:FAILURE | LATENCY:167ms
TXNID:54054 | STATUS:REJECTED | LATENCY:124ms
TXNID:535381 | STATUS:FAILURE | LATENCY:102ms
TXNID:949910 | STATUS:PENDING | LATENCY:43ms
TXNID:177584 | STATUS:PENDING | LATENCY:158ms
TXNID:577815 | STATUS:PENDING | LATENCY:181ms
TXNID:246690 | STATUS:SUCCESS | LATENCY:138ms
TXNID:617292 | STATUS:SUCCESS | LATENCY:195ms
TXNID:528340 | STATUS:REJECTED | LATENCY:88ms
TXNID:848030 | STATUS:REJECTED | LATENCY:87ms
TXNID:957782 | STATUS:REJECTED | LATENCY:70ms
TXNID:833337 | STATUS:REJECTED | LATENCY:178ms
TXNID:777116 | STATUS:REJECTED | LATENCY:192ms
TXNID:585440 | STATUS:SUCCESS | LATENCY:131ms
TXNID:548103 | STATUS:REJECTED | LATENCY:126ms
TXNID:161839 | STATUS:PENDING | LATENCY:129ms
TXNID:816788 | STATUS:REJECTED | LATENCY:166ms
TXNID:421083 | STATUS:SUCCESS | LATENCY:118ms
TXNID:636046 | STATUS:PENDING | LATENCY:168ms
TXNID:387012 | STATUS:FAILURE | LATENCY:74ms
TXNID:284602 | STATUS:PENDING | LATENCY:116ms
TXNID:192696 | STATUS:FAILURE | LATENCY:2ms
TXNID:577058 | STATUS:REJECTED | LATENCY:51ms
TXNID:334661 | STATUS:SUCCESS | LATENCY:120ms
TXNID:69057 | STATUS:PENDING | LATENCY:39ms
TXNID:829857 | STATUS:REJECTED | LATENCY:100ms
TXNID:887701 | STATUS:FAILURE | LATENCY:19ms
TXNID:188223 | STATUS:PENDING | LATENCY:108ms
TXNID:213122 | STATUS:REJECTED | LATENCY:144ms
TXNID:145277 | STATUS:FAILURE | LATENCY:191ms
TXNID:723325 | STATUS:PENDING | LATENCY:111ms
TXNID:302329 | STATUS:SUCCESS | LATENCY:78ms
TXNID:58126 | STATUS:PENDING | LATENCY:196ms
TXNID:561415 | STATUS:SUCCESS | LATENCY:57ms
TXNID:229140 | STATUS:PENDING | LATENCY:3ms
TXNID:339861 | STATUS:SUCCESS | LATENCY:159ms
TXNID:311864 | STATUS:FAILURE | LATENCY:47ms
TXNID:930916 | STATUS:SUCCESS | LATENCY:14ms
TXNID:205884 | STATUS:REJECTED | LATENCY:93ms
TXNID:28109 | STATUS:REJECTED | LATENCY:35ms
TXNID:529485 | STATUS:REJECTED | LATENCY:128ms
TXNID:359413 | STATUS:PENDING | LATENCY:41ms
TXNID:273497 | STATUS:REJECTED | LATENCY:100ms
TXNID:496166 | STATUS:REJECTED | LATENCY:49ms
TXNID:870230 | STATUS:REJECTED | LATENCY:49ms
TXNID:21871 | STATUS:FAILURE | LATENCY:189ms
TXNID:503705 | STATUS:REJECTED | LATENCY:189ms
TXNID:489371 | STATUS:PENDING | LATENCY:157ms
TXNID:915772 | STATUS:PENDING | LATENCY:28ms
TXNID:272105 | STATUS:SUCCESS | LATENCY:5ms
TXNID:792764 | STATUS:PENDING | LATENCY:145ms
TXNID:137570 | STATUS:SUCCESS | LATENCY:159ms
TXNID:807227 | STATUS:FAILURE | LATENCY:173ms
TXNID:893021 | STATUS:FAILURE | LATENCY:173ms
TXNID:430628 | STATUS:PENDING | LATENCY:95ms
TXNID:838713 | STATUS:FAILURE | LATENCY:21ms
TXNID:801098 | STATUS:REJECTED | LATENCY:45ms
TXNID:80712 | STATUS:FAILURE | LATENCY:57ms
TXNID:241051 | STATUS:PENDING | LATENCY:185ms
TXNID:339154 | STATUS:PENDING | LATENCY:36ms
TXNID:236051 | STATUS:PENDING | LATENCY:50ms
TXNID:43157 | STATUS:REJECTED | LATENCY:78ms
TXNID:284721 | STATUS:FAILURE | LATENCY:23ms
TXNID:394140 | STATUS:REJECTED | LATENCY:139ms
TXNID:670591 | STATUS:PENDING | LATENCY:121ms
TXNID:142961 | STATUS:PENDING | LATENCY:142ms
TXNID:614268 | STATUS:FAILURE | LATENCY:9ms
TXNID:462965 | STATUS:FAILURE | LATENCY:81ms
TXNID:915027 | STATUS:FAILURE | LATENCY:130ms
TXNID:757155 | STATUS:SUCCESS | LATENCY:35ms
TXNID:332521 | STATUS:PENDING | LATENCY:127ms
TXNID:536963 | STATUS:FAILURE | LATENCY:168ms
TXNID:17207 | STATUS:SUCCESS | LATENCY:88ms
TXNID:482588 | STATUS:PENDING | LATENCY:38ms
TXNID:221728 | STATUS:REJECTED | LATENCY:14ms
TXNID:568326 | STATUS:PENDING | LATENCY:73ms
TXNID:50489 | STATUS:FAILURE | LATENCY:74ms
TXNID:866347 | STATUS:FAILURE | LATENCY:174ms
TXNID:352409 | STATUS:SUCCESS | LATENCY:34ms
TXNID:126716 | STATUS:FAILURE | LATENCY:129ms
TXNID:736950 | STATUS:SUCCESS | LATENCY:107ms
TXNID:495150 | STATUS:FAILURE | LATENCY:80ms
TXNID:364158 | STATUS:REJECTED | LATENCY:33ms
TXNID:89318 | STATUS:FAILURE | LATENCY:136ms
TXNID:877289 | STATUS:REJECTED | LATENCY:84ms
TXNID:839213 | STATUS:PENDING | LATENCY:181ms
TXNID:705105 | STATUS:PENDING | LATENCY:62ms
TXNID:802112 | STATUS:SUCCESS | LATENCY:95ms
TXNID:705224 | STATUS:REJECTED | LATENCY:0ms
TXNID:43288 | STATUS:FAILURE | LATENCY:31ms
TXNID:963713 | STATUS:FAILURE | LATENCY:38ms
TXNID:286930 | STATUS:FAILURE | LATENCY:139ms
TXNID:257207 | STATUS:FAILURE | LATENCY:88ms
TXNID:96481 | STATUS:SUCCESS | LATENCY:4ms
TXNID:581532 | STATUS:REJECTED | LATENCY:81ms
TXNID:908795 | STATUS:REJECTED | LATENCY:84ms
TXNID:648495 | STATUS:REJECTED | LATENCY:110ms
TXNID:506737 | STATUS:REJECTED | LATENCY:40ms
TXNID:309868 | STATUS:PENDING | LATENCY:104ms
TXNID:381674 | STATUS:REJECTED | LATENCY:182ms
TXNID:946813 | STATUS:FAILURE | LATENCY:110ms
TXNID:287282 | STATUS:REJECTED | LATENCY:37ms
TXNID:481148 | STATUS:SUCCESS | LATENCY:163ms
TXNID:189308 | STATUS:SUCCESS | LATENCY:169ms
TXNID:837781 | STATUS:FAILURE | LATENCY:11ms
TXNID:218218 | STATUS:SUCCESS | LATENCY:13ms
TXNID:175762 | STATUS:REJECTED | LATENCY:147ms
TXNID:633184 | STATUS:SUCCESS | LATENCY:51ms
TXNID:436298 | STATUS:FAILURE | LATENCY:74ms
TXNID:496991 | STATUS:PENDING | LATENCY:182ms
TXNID:574865 | STATUS:SUCCESS | LATENCY:77ms
TXNID:546922 | STATUS:FAILURE | LATENCY:50ms
TXNID:274045 | STATUS:SUCCESS | LATENCY:77ms
TXNID:930140 | STATUS:REJECTED | LATENCY:164ms
TXNID:288424 | STATUS:FAILURE | LATENCY:98ms
TXNID:2593 | STATUS:PENDING | LATENCY:63ms
TXNID:427301 | STATUS:SUCCESS | LATENCY:142ms
TXNID:803305 | STATUS:REJECTED | LATENCY:54ms
TXNID:332739 | STATUS:PENDING | LATENCY:130ms
TXNID:632421 | STATUS:FAILURE | LATENCY:45ms
TXNID:553920 | STATUS:PENDING | LATENCY:64ms
TXNID:388051 | STATUS:SUCCESS | LATENCY:189ms
TXNID:558988 | STATUS:PENDING | LATENCY:26ms
TXNID:260626 | STATUS:PENDING | LATENCY:170ms
TXNID:924374 | STATUS:FAILURE | LATENCY:36ms
TXNID:243607 | STATUS:PENDING | LATENCY:5ms
TXNID:724359 | STATUS:FAILURE | LATENCY:61ms
TXNID:217143 | STATUS:PENDING | LATENCY:139ms
TXNID:662247 | STATUS:FAILURE | LATENCY:105ms
TXNID:763805 | STATUS:PENDING | LATENCY:87ms
TXNID:344568 | STATUS:REJECTED | LATENCY:29ms
TXNID:508752 | STATUS:PENDING | LATENCY:41ms
TXNID:307182 | STATUS:FAILURE | LATENCY:184ms
TXNID:246572 | STATUS:REJECTED | LATENCY:161ms
TXNID:482886 | STATUS:SUCCESS | LATENCY:81ms
TXNID:976050 | STATUS:FAILURE | LATENCY:39ms
TXNID:806186 | STATUS:FAILURE | LATENCY:155ms
TXNID:333041 | STATUS:PENDING | LATENCY:33ms
TXNID:833886 | STATUS:REJECTED | LATENCY:121ms
TXNID:665498 | STATUS:SUCCESS | LATENCY:155ms
TXNID:696328 | STATUS:FAILURE | LATENCY:19ms
TXNID:455306 | STATUS:FAILURE | LATENCY:93ms
TXNID:213282 | STATUS:PENDING | LATENCY:18ms
TXNID:737482 | STATUS:FAILURE | LATENCY:175ms
TXNID:214717 | STATUS:SUCCESS | LATENCY:136ms
TXNID:269130 | STATUS:PENDING | LATENCY:35ms
TXNID:388467 | STATUS:FAILURE | LATENCY:7ms
